172.16.185.3    Pune         
172.16.188.3    PMC          
172.16.187.194    RLway Pune   
172.16.187.66    PCMC Akurdi  
172.16.188.66    Bhor         
172.16.190.129    Saswad       
172.16.183.215    Baramati     
172.16.189.129    Indapur      
172.16.188.129    Daund        
172.16.188.193    RLway Daund  
172.16.189.65    Shirur      
172.16.190.1    Khed         
172.16.189.1    Ghodegaon    
172.16.189.193    Junnar       
172.16.190.193    Vadgaon      
172.16.186.194    Khadaki      
172.16.187.22    Cantonment   
172.20.56.66    Juvenile     
172.16.182.194    Pimpri       
