Original network profile: BSNL 
Switching to profile: CIS
Connection successfully activated (D-Bus active path: /org/freedesktop/NetworkManager/ActiveConnection/55)
Pinging IPs from /home/ubuntu/Documents/DOC/MPLS_Link/IPlist.txt ...
2025-06-03 17:56:44 [✓] Name (172.16.185.3) is ALIVE
2025-06-03 17:56:44 [✓] Name (172.16.188.3) is ALIVE
2025-06-03 17:56:44 [✓] Name (172.16.187.194) is ALIVE
2025-06-03 17:56:45 [✗] Name (172.16.187.66) is UNREACHABLE
2025-06-03 17:56:47 [✗] Name (172.16.188.66) is UNREACHABLE
2025-06-03 17:56:48 [✗] Name (172.16.190.129) is UNREACHABLE
2025-06-03 17:56:49 [✗] Name (172.16.183.215) is UNREACHABLE
2025-06-03 17:56:50 [✗] Name (172.16.189.129) is UNREACHABLE
2025-06-03 17:56:51 [✗] Name (172.16.188.129) is UNREACHABLE
2025-06-03 17:56:52 [✗] Name (172.16.188.193) is UNREACHABLE
2025-06-03 17:56:52 [✓] Name (172.16.189.65) is ALIVE
2025-06-03 17:56:52 [✓] Name (172.16.190.1) is ALIVE
2025-06-03 17:56:53 [✗] Name (172.16.189.1) is UNREACHABLE
2025-06-03 17:56:53 [✓] Name (172.16.189.193) is ALIVE
2025-06-03 17:56:53 [✓] Name (172.16.190.193) is ALIVE
2025-06-03 17:56:53 [✓] Name (172.16.186.194) is ALIVE
2025-06-03 17:56:53 [✓] Name (172.16.187.22) is ALIVE
2025-06-03 17:56:54 [✗] Name (172.20.56.66) is UNREACHABLE
2025-06-03 17:56:54 [✓] Name (172.16.182.194) is ALIVE
Restoring original profile: BSNL 
Connection successfully activated (D-Bus active path: /org/freedesktop/NetworkManager/ActiveConnection/56)
